domain,group,authors_country_flag,work_num,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth
Absorption spectroscopy-2,cn,CN,5889.0,0.7932721,9.231607,12.343375,6.6507397,8.926920902226485
Absorption spectroscopy-2,us,US,9798.0,0.76360065,9.743325,12.697128,6.496514,9.920776585618924
Absorptive capacity-2,cn,CN,174.0,1.6343362,6.6040196,13.572708,4.3213186,4.918886204974001
Absorptive capacity-2,us,US,149.0,1.7792376,7.555297,13.5161085,4.5965257,6.412265542868568
Abstinence-2,cn,CN,172.0,1.1956176,7.778929,11.182126,5.7238774,6.611615512652861
Abstinence-2,us,US,5128.0,1.0917213,8.250728,12.810763,5.43162,7.317081180482162
Abstract data type-2,us,US,97.0,0.81533754,7.722869,10.089116,5.9640546,6.352420256359451
Abstract interpretation-2,cn,CN,30.0,1.2197683,7.6567364,10.180245,5.860896,6.476584193350249
Abstract interpretation-2,us,US,193.0,1.1475109,7.6440134,10.751206,5.7479916,6.267155035858025
Abstract machine-2,us,US,37.0,0.9406132,7.7081017,10.467213,6.489883,6.508210091082532
Abstraction-2,cn,CN,751.0,1.1674498,9.447364,13.04357,6.2270083,9.481590816762136
Abstraction-2,us,US,3113.0,1.0968965,9.23452,13.972083,5.830749,9.071158474825909
Absurdism-2,cn,,,,,,,
Absurdism-2,us,,,,,,,
Absurdity-2,cn,CN,3.0,1.3047049,7.652223,9.492696,6.6185064,9.531988700230912
Absurdity-2,us,US,20.0,0.7620016,8.379406,10.189641,7.181474,7.910171527611581
Abusive supervision-2,cn,CN,58.0,0.8643036,6.136677,7.819741,4.5244036,4.099497092621675
Abusive supervision-2,us,US,92.0,1.2677683,5.95475,9.424427,3.9679945,3.943510575687398
Abutment-2,cn,CN,295.0,1.4590744,7.9463854,11.899311,5.102336,6.909076162516925
Abutment-2,us,US,509.0,1.2053366,8.90184,12.147833,6.31333,8.470279971379341
Abyssal zone-2,cn,CN,22.0,1.0294297,8.08399,10.340912,6.352618,7.329836232321597
Abyssal zone-2,us,US,332.0,0.79015666,9.159659,11.891322,7.0199447,8.870482463103073
Acacia mangium-2,cn,CN,10.0,0.5295154,7.7549577,9.084534,7.055984,6.977654695510864
Acacia mearnsii-2,us,US,2.0,0.0,5.9862814,5.9862814,5.9862814,7.59488046169281
Acacia-2,cn,CN,49.0,0.951215,8.642158,10.294354,5.780207,8.13015239934127
Acacia-2,us,US,165.0,1.0175312,8.944042,11.804373,7.031646,8.612174635392861
Academic achievement-2,cn,CN,334.0,0.99958056,7.59479,11.127363,4.9352007,6.168086970134922
Academic achievement-2,us,US,6156.0,0.86363196,8.24862,12.166077,4.9208493,7.245437559206053
Academic community-2,cn,CN,16.0,1.079696,7.797441,10.208267,6.08932,7.010045299927398
Academic community-2,us,US,139.0,0.94640565,8.224421,11.574935,6.3459005,7.2958510370661855
Academic institution-2,cn,CN,12.0,0.97655344,7.4821773,9.10154,5.935902,6.645365601236165
Academic institution-2,us,US,759.0,1.1382711,8.137151,11.637418,5.2785487,7.19861765264163
Academic integrity-2,cn,CN,13.0,0.90777075,6.573687,9.203786,5.678249,5.092629140768295
Academic integrity-2,us,US,245.0,1.0733479,7.344321,11.875966,4.6350064,5.853830905883044
Academic library-2,cn,CN,38.0,1.1561381,6.4669185,8.952955,4.9236608,4.673631550746819
Academic library-2,us,US,782.0,0.87608963,7.3570485,10.772327,5.230001,5.759445473478749
Academic medicine-2,us,US,308.0,1.1412326,7.2121153,10.414153,4.5603366,5.665439879274416
Academic skills-2,us,US,94.0,1.0821741,7.628002,11.158491,5.68729,6.331363393681727
Academic writing-2,cn,CN,65.0,1.016141,6.7567673,9.506328,4.959868,4.967414307337933
Academic writing-2,us,US,181.0,0.93116343,7.0433965,9.72521,5.2095613,5.308898794165799
