domain,group,inventors_country_flag,work_num,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth
B23-1,cn,CN,1012.0,0.8725327849388123,8.362207412719727,11.19543743133545,6.2150726318359375,5.288893213037497
B23-1,us,US,14842.0,0.7435194849967957,8.842482566833496,11.901612281799316,6.312446117401123,5.866517859354786
B24-1,cn,CN,261.0,1.208922028541565,7.693436622619629,11.206084251403809,5.5558013916015625,4.581801905995306
B24-1,us,US,3410.0,0.9400450587272644,8.1212739944458,11.844613075256348,5.846607685089111,5.031520575075888
B25-1,cn,CN,879.0,0.8570365905761719,8.145159721374512,10.643150329589844,5.967247486114502,4.959694337361498
B25-1,us,US,8886.0,0.7675467729568481,8.471508979797363,12.45041847229004,6.072338104248047,5.341059048567345
B26-1,us,US,2613.0,0.8618148565292358,8.206275939941406,11.294529914855955,5.7023091316223145,5.070738004878166
B27-1,cn,CN,76.0,0.8388024568557739,8.187430381774902,10.685672760009766,6.680963039398193,5.136147759462645
B27-1,us,US,1234.0,0.9377462267875672,8.515027046203613,11.692215919494627,6.10421895980835,5.473941201554695
B28-1,cn,CN,98.0,0.712909460067749,8.560129165649414,10.350900650024414,7.001328468322754,5.5640884281433785
B28-1,us,US,1933.0,0.7771411538124084,8.734136581420898,13.809020042419434,6.621604919433594,5.731944857289591
B29-1,cn,CN,841.0,0.7052891254425049,8.560049057006836,10.947185516357422,6.728660583496094,5.4559468636459485
B29-1,us,US,18971.0,0.7786932587623596,8.737654685974121,11.650708198547363,6.090916156768799,5.688607185870637
B3-1,cn,CN,62.0,0.8748623728752136,8.324186325073242,10.560440063476562,6.591644287109375,5.345014421666264
B3-1,us,US,755.0,0.8433507084846497,8.404752731323242,11.720621109008787,6.13782262802124,5.3356695425517415
B30-1,cn,CN,31.0,0.908782958984375,7.336855888366699,9.405091285705566,5.906753063201904,4.249396753567524
B31-1,us,US,1473.0,0.8714601397514343,8.137507438659668,11.395931243896484,5.846510410308838,4.981916012940843
B32-1,cn,CN,913.0,0.869775116443634,8.512125968933105,11.609723091125488,6.205141544342041,5.408084290125572
B32-1,us,US,17616.0,0.7439202070236206,8.856075286865234,12.382129669189451,6.288536071777344,5.821773990240516
B33-1,cn,CN,202.0,0.9743623733520508,7.792182922363281,10.715513229370115,6.187042713165283,4.5717779375767975
B33-1,us,US,5043.0,1.1477315425872805,7.965989589691162,12.309803009033203,5.408347129821777,4.800360069982986
B4-1,cn,CN,31.0,0.9685032963752748,7.546191692352295,9.649133682250977,5.670192718505859,4.503500044986765
B4-1,us,US,456.0,0.9763853549957277,8.011656761169434,11.976482391357422,6.091552257537842,4.879139768340707
B41-1,cn,CN,270.0,0.9704498052597046,7.771179676055908,12.261444091796877,5.377145767211914,4.544992578451442
B41-1,us,US,8655.0,0.93110191822052,7.991189002990723,12.67734146118164,5.550403594970703,4.779939302796649
B42-1,cn,CN,67.0,1.086129665374756,8.083600044250488,11.361932754516602,6.452836513519287,4.965894825315104
B42-1,us,US,1146.0,0.9004955887794495,8.37032413482666,11.221665382385254,6.190488815307617,5.206628334967675
B43-1,cn,CN,31.0,0.9402847290039062,7.767010688781738,10.948445320129396,5.967717170715332,4.695942331385865
B43-1,us,US,729.0,0.880901575088501,8.094151496887207,11.033318519592283,6.244389057159424,4.913010142777168
B44-1,cn,CN,59.0,0.7330330014228821,8.090770721435547,9.807805061340332,6.645027160644531,4.957188172064491
B44-1,us,US,1508.0,0.7431932687759399,8.659225463867188,10.826251029968262,6.123280048370361,5.598327973221302
B5-1,cn,CN,599.0,0.9161337614059448,8.296506881713867,11.195280075073242,6.382473468780518,5.154465077801973
B5-1,us,US,7108.0,0.7946581840515137,8.598668098449707,12.440675735473633,6.327468395233154,5.504312724556229
B6-1,cn,CN,101.0,1.3955650329589844,7.354790687561035,11.061290740966797,5.062394618988037,4.202650896393422
B6-1,us,US,511.0,0.9870995283126832,8.129172325134277,11.805272102355955,6.016778469085693,4.962544956854444
B60-1,cn,CN,1882.0,0.7244142889976501,8.808953285217285,11.586600303649902,6.505610942840576,5.807506986646601
B60-1,us,US,43838.0,0.6932740211486816,9.006084442138672,12.518741607666016,6.635029315948486,6.05799677600362
B61-1,cn,CN,237.0,0.9605887532234192,7.86329174041748,11.957433700561523,5.629266262054443,4.722588264804912
B61-1,us,US,2083.0,0.7918135523796082,8.445430755615234,11.789496421813965,6.5475754737854,5.379172927305348
B62-1,cn,CN,460.0,0.9758106470108032,8.145875930786133,11.149413108825684,6.121371269226074,4.997691747008986
B62-1,us,US,10806.0,0.7552778124809265,8.610730171203613,12.144124031066896,6.26878023147583,5.549447019768905
B63-1,cn,CN,183.0,1.1090792417526243,7.85811710357666,11.824593544006348,5.872490406036377,4.693420444752931
B63-1,us,US,4035.0,0.903795063495636,8.540362358093262,12.90683937072754,6.234111785888672,5.470017575791715
B64-1,cn,CN,851.0,1.0844290256500244,7.776176929473877,11.583317756652832,5.657106399536133,4.556285791615622
B64-1,us,US,14419.0,0.7727229595184326,8.692242622375488,11.955350875854492,6.347677707672119,5.639693526229578
B65-1,cn,CN,994.0,0.9185771346092224,8.165894508361816,11.843022346496582,5.637954235076904,5.039485519492899
B65-1,us,US,27009.0,0.7441262602806091,8.623309135437012,12.157997131347656,6.227916717529297,5.565535953940142
B66-1,cn,CN,335.0,0.9075371026992798,7.864768028259277,10.71358871459961,5.745882511138916,4.695924410541721
B66-1,us,US,3308.0,0.8739650845527649,8.303253173828125,11.567716598510742,6.055973052978516,5.194995923100663
B67-1,us,US,2968.0,0.8934484124183655,7.9831390380859375,11.382946968078612,5.982429027557373,4.777781947408471
B7-1,cn,CN,53.0,0.7719468474388123,7.586028099060059,9.042313575744627,6.196368217468262,4.408591862427301
B8-1,cn,CN,183.0,1.0350981950759888,7.714044570922852,10.66032600402832,5.850579261779785,4.565176412499866
B8-1,us,US,2416.0,0.8130402565002441,8.312492370605469,12.335049629211426,6.251447677612305,5.225243281148138
B81-1,cn,CN,177.0,1.086869716644287,7.475314140319824,10.557392120361328,5.534085750579834,4.233180192735915
B81-1,us,US,2021.0,0.9897269010543824,7.814850330352783,12.37136936187744,5.412055969238281,4.55719849037925
B82-1,cn,CN,682.0,1.0424124002456665,8.117286682128906,11.868783950805664,6.066000938415527,4.932509416476819
