domain,group,betweeness centrality_std_cor,betweeness centrality_average_cor,degree_std_cor,degree_average_cor,closeness centrality_std_cor,closeness centrality_average_cor
B26-1,us,0.1580213279748543,0.7638354286107154,0.1981510354586764,0.7858162366212587,0.2215863341114355,0.7140740539932903
B27-1,us,0.1201707418670331,0.890350340289339,0.0523212969241836,0.9649825575656236,0.1473899225072628,0.90790137013092
B28-1,cn,0.1132116273588036,0.9346372364689992,0.0406889702014621,0.976508212101137,0.0406889702014621,0.976508212101137
B28-1,us,0.2081395126208858,0.8389378666293844,0.1068963116989696,0.9012327790375524,0.3339883942251202,0.5750073647698799
B29-1,cn,0.0236439884798408,0.8944546254768891,0.0256903006169903,0.9526980411789864,0.1465252760773324,0.8446668961405482
B29-1,us,0.020012526750349,0.8684239972114367,0.0058924317514402,0.9265985393958498,0.0184035851928121,0.9408450096707772
B3-1,cn,0.0,1.0,0.0,0.9999999999999998,0.0,0.9999999999999998
B3-1,us,0.0475164319996307,0.9524835680003692,0.018580729082391,0.9814192709176088,0.0083508467579579,0.991649153242042
B31-1,us,0.0498839691675138,0.9451736854864268,0.0065260524738414,0.9877950588320824,0.0190263914330643,0.9737742142441156
B32-1,cn,0.0407118830375501,0.9462596108985036,0.1198039831293506,0.9023271481029148,0.0970172509326235,0.9227167142762932
B32-1,us,0.0414201262727303,0.815362151782271,0.03914935397646,0.904642092146651,0.0245104430985157,0.8777811301633355
B33-1,us,0.121608499826845,0.6987711727760342,0.170187438308938,0.7970566091239352,0.2171192671612271,0.7424625762704031
B4-1,us,0.0092307692307691,0.9907692307692308,0.0341861437212297,0.96581385627877,0.4901822412851496,0.5098177587148502
B41-1,cn,0.0762375016360558,0.8402848386776688,0.1017781441772316,0.8600170241309886,0.1044458306712083,0.8544706145639213
B41-1,us,0.0275154352307405,0.8564502698214987,0.0243996980267286,0.9108921316727924,0.1018187062967388,0.8218139165312914
B42-1,cn,0.0287811477895557,0.9788872938284616,0.0587376303982265,0.9480262533229656,0.0371274700101304,0.9381844767568928
B42-1,us,0.0358388847981157,0.9667102818563316,0.0130067805574604,0.9816033755632868,0.0449613463837581,0.9503760676714308
B43-1,us,0.1607238274840239,0.8695092194197949,0.2052740310424743,0.8465255761516047,0.2003625822280575,0.8145591088105165
B44-1,cn,0.0312301905793193,0.9819692410621866,0.0355545836994337,0.9667931638094948,0.0383010710118617,0.96318415227628
B44-1,us,0.0319050214809652,0.8869860136473853,0.0102528368794911,0.939012239100422,0.0217118131255211,0.934548461070146
B5-1,cn,0.0488624509502417,0.9180090706100184,0.043521670287107,0.9216434940579086,0.0253006846521855,0.9585977979278508
B5-1,us,0.0518553680789779,0.8620375649259678,0.0546173382219538,0.9476387609808532,0.089189147205722,0.9203832826011628
B6-1,cn,0.0,0.8576724654193209,0.0,0.915168322804898,0.0,0.964242126130787
B6-1,us,0.1044327015953716,0.924695638061842,0.0856032408426687,0.935560202047375,0.0856032408426687,0.935560202047375
B60-1,cn,0.0552414763662615,0.9041740250798572,0.0292592682589502,0.9392089800102332,0.0703183974491133,0.880483438961196
B60-1,us,0.012320851081391,0.8447951396878051,0.0088767782727397,0.9150663873835332,0.0122403483699379,0.9306055885023112
B61-1,cn,0.0439555166997933,0.9579241860387656,0.0267070207070095,0.9780045167055992,0.0374599413594181,0.9630685505703724
B61-1,us,0.0631146609893928,0.8998566250053907,0.0726212420365754,0.9319512023506068,0.0728619220647751,0.9369099127797444
B62-1,cn,0.1974498870896727,0.8310405944878916,0.1884750354719165,0.8697580063989293,0.2779562347796311,0.8177136164769052
B62-1,us,0.0566834310226172,0.8595809956860805,0.0240981140128089,0.9285294054231444,0.0543097605554847,0.9095295634328302
B63-1,cn,0.071059773682429,0.9180493275423488,0.0629369969348918,0.9334915744936796,0.0629369969348918,0.9334915744936796
B63-1,us,0.0309403870669856,0.8442734167757686,0.0665752565095434,0.9030110138144264,0.05599437043904,0.8287799684413563
B64-1,cn,0.2445014243675081,0.6851166831785565,0.4147399892016319,0.6497471976435905,0.368472400593118,0.529345635504336
B64-1,us,0.0458347460896106,0.8386104453126373,0.0280256260948015,0.9103134159699676,0.1201942284328391,0.7737970091377824
B65-1,cn,0.0422409029657912,0.947982962515779,0.033342251006452,0.9509053601829468,0.0309135447896696,0.9559776352238676
B65-1,us,0.0038078962952574,0.8958347763158836,0.0104196868159772,0.960738657599848,0.0114202640530758,0.9462781234522496
B66-1,cn,0.0822970255886084,0.8651957335385011,0.0769939004887047,0.9182653644382954,0.15241351954561,0.8072308361440289
B66-1,us,0.0552342893283879,0.8170014981762479,0.0564112192104199,0.8717970844924835,0.0598054349737088,0.8536568973612788
B67-1,us,0.0531730477465262,0.8293767244741387,0.0215292615533159,0.9115824211163692,0.0749054692950868,0.8497763873371124
B8-1,cn,0.2738124671457981,0.773800083661058,0.3183275921444011,0.7673175207073065,0.3183275921444011,0.7673175207073065
B8-1,us,0.1382037005543795,0.8251446373187952,0.1675537238335295,0.8666347959619305,0.1606719600856746,0.7924899790270638
B81-1,cn,0.0,0.8005958895909558,0.0,0.981070843517429,0.0,0.6995049884851876
B81-1,us,0.1615876007346361,0.7929708841339635,0.1812972586150159,0.7960826100415149,0.0713248411537832,0.834436317885514
B82-1,cn,0.0522172602138861,0.93432349189415,0.0438863445277149,0.951551962629416,0.0594013928883442,0.9534723551819976
B82-1,us,0.0330912540628806,0.9108688369424266,0.0179297792616453,0.949707358393724,0.0250649954673166,0.9535373458680618
B9-1,cn,0.0,0.9908673886137244,0.0,0.9941002434954168,0.0,0.9941002434954168
C01-1,cn,0.0391386068470782,0.8586306432238532,0.0486948999991947,0.8662165256067692,0.1623160545466126,0.8599278021752612
C01-1,us,0.0699838854533057,0.8759769035339915,0.0520504132819337,0.9185046175978916,0.1014420083166689,0.854283230335714
C02-1,cn,0.0351876541100562,0.9208375293531332,0.0321636236654299,0.9726494821046944,0.0434630918333965,0.9534310679826968
C02-1,us,0.1654447968122423,0.814598151566014,0.1429402038260005,0.8799529842277066,0.2955104731236429,0.7312169306745936
C03-1,us,0.0496162336712727,0.8902237765382288,0.0377951001558541,0.9329242915841583,0.0472592730257583,0.93383232328415
C04-1,cn,0.0055027765072882,0.9961089494163424,0.0022160336426991,0.9984330275839098,0.2894678570911416,0.7953153153153153
