domain,group,betweeness centrality_std_cor,betweeness centrality_average_cor,degree_std_cor,degree_average_cor,closeness centrality_std_cor,closeness centrality_average_cor
Erythema multiforme-2,cn,0.4330127018922193,0.75,0.4330127018922193,0.75,0.4330127018922193,0.75
Erythema multiforme-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Erythema-2,cn,0.359157505050907,0.7109945665003113,0.3892316976348186,0.7782218927286575,0.3503457641743446,0.6516842744336143
Erythema-2,us,0.4419199351090911,0.3564110297934656,0.4775748089910784,0.3897119341563786,0.4807283224199702,0.3923900628350859
Erythrina-2,cn,0.379020471646024,0.7542880625967516,0.3685936486706634,0.7247756143109012,0.3685936486706634,0.7247756143109012
Erythrina-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Erythritol-2,cn,0.3777386409050743,0.1888693204525371,0.3944292941518244,0.1972146470759122,0.3944292941518244,0.1972146470759122
Erythritol-2,us,0.0714875949140532,0.9599220647189284,0.0149392385937797,0.9895420623518636,0.0149392385937797,0.9895420623518636
Erythrocyte sedimentation rate-2,cn,0.0532868876431609,0.8540047628308137,0.038656044102063,0.9373840232450056,0.317628227556234,0.7097376930604061
Erythrocyte sedimentation rate-2,us,0.4458232827303859,0.5394038319264058,0.4715844845145239,0.5768106646144021,0.4677200079398944,0.571935257133827
Erythroderma-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Erythroderma-2,us,0.4898979485566355,0.4,0.4898979485566355,0.4,0.4898979485566355,0.4
Erythromelalgia-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Erythromelalgia-2,us,0.3208596140546394,0.7781607234222402,0.322481619072068,0.8040588124573335,0.322481619072068,0.8040588124573335
Erythropoietin-2,cn,0.086556802115468,0.8684851582035696,0.0254218981637523,0.9617115063687282,0.1451048374982555,0.8214450755381348
Erythropoietin-2,us,0.3685199501012413,0.7304103417935368,0.3865829708105935,0.7713534220816661,0.3938148141650445,0.7872859054557033
Escalation of commitment-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Escape response-2,cn,0.4330127018922193,0.75,0.4330127018922193,0.75,0.4330127018922193,0.75
Escape response-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Escapement-2,cn,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666
Escapement-2,us,0.4,0.8,0.3999999999999999,0.7999999999999999,0.3999999999999999,0.7999999999999999
Escapism-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Escarpment-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Escarpment-2,us,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Eschar-2,cn,0.4330127018922193,0.75,0.4330127018922193,0.75,0.4330127018922193,0.75
Eschar-2,us,0.4518172869919556,0.5321669893865246,0.4477500295850869,0.4890445334028369,0.5366934066622964,0.3516424818598825
Escher-2,cn,0.4000000000000001,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Escher-2,us,0.0,0.0,0.0,0.0,0.0,0.0
Escrow-2,us,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Esomeprazole-2,cn,0.0609056184419536,0.8272514972869779,0.0535430711450771,0.9140471633692232,0.096390623265884,0.9022141645560112
Esomeprazole-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Esophagus-2,cn,0.0245195190197307,0.8480698749103623,0.0179807916291261,0.9256382163869266,0.0513901180995623,0.8640063870520599
