inventors_id,time_window,patent_id,time_window_num,patent_num_time_window,total_patent_num,total_patent_num_no_overlap,group,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth,domain
fl:an_ln:ganguli-3,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[9070285], [9070285], [9070285, 9583796], [9070285, 9583796], [9070285, 9583796], [9070285, 9583796]]",6,"[1, 1, 2, 2, 2, 2]",10,2,us,1.030902862548828,2.915833711624145,4.373750686645508,2.186875343322754,0.8646698792775425,G01-1
fl:an_ln:garcia-17,"[(2010, 2015), (2011, 2016), (2012, 2017)]","[[7812941, 7885788, 8081307, 8134700, 8229702], [7885788, 8081307, 8134700, 8229702], [8134700, 8229702]]",3,"[5, 4, 2]",11,5,us,0.2548382878303528,0.8080191016197205,1.167461633682251,0.6056129336357117,0.0823269287745205,G01-1
fl:an_ln:garzarella-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018)]","[[7920263, 8358415], [7920263, 8358415], [8358415], [8358415]]",4,"[2, 2, 1, 1]",6,2,us,0.0,1.896328330039978,1.896328330039978,1.896328330039978,0.3746132055918423,G01-1
fl:an_ln:george-27,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8128875], [8128875], [8128875], [10031331], [10031331], [10031331]]",6,"[1, 1, 1, 1, 1, 1]",6,2,us,0.0,5.478648662567139,5.478648662567139,5.478648662567139,2.6746422052383423,G01-1
fl:an_ln:ghusson-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[7935534, 8663991, 8883509], [7935534, 8663991, 8883509, 9528918], [8663991, 8883509, 9528918], [10023895, 8663991, 8883509, 9528918], [10023895, 8663991, 8883509, 9528918], [10023895, 9528918]]",6,"[3, 4, 3, 4, 4, 2]",20,5,us,0.7456310391426086,1.7004565000534058,3.061936855316162,0.8692973256111145,0.3245919942855835,G01-1
fl:an_ln:ginart-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018)]","[[8103463, 8600685], [8103463, 8600685], [8103463, 8600685], [8600685]]",4,"[2, 2, 2, 1]",7,2,us,0.0,0.0,0.0,0.0,0.0,G01-1
fl:an_ln:glenn-2,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8835865], [8835865, 9274237, 9309456], [8835865, 9274237, 9309456, 9650564], [8835865, 9274237, 9309456, 9650564], [8835865, 9274237, 9309456, 9650564], [9274237, 9309456, 9650564]]",6,"[1, 3, 4, 4, 4, 3]",19,4,us,1.4072301387786863,1.6216859817504885,4.444797039031982,0.7148402333259583,0.4126228888829502,G01-1
fl:an_ln:goldenson-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8994540, 9007222, 9046414, 9189946], [8994540, 9007222, 9046414, 9189946, 9349273, 9460600], [8994540, 9007222, 9046414, 9189946, 9349273, 9460600, 9568370, 9651485, 9691258], [10054608, 10121364, 8994540, 9007222, 9046414, 9189946, 9349273, 9460600, 9568370, 9651485, 9691258], [10054608, 10121364, 8994540, 9007222, 9046414, 9189946, 9349273, 9460600, 9568370, 9651485, 9691258], [10054608, 10121364, 8994540, 9007222, 9046414, 9189946, 9349273, 9460600, 9568370, 9651485, 9691258]]",6,"[4, 6, 9, 11, 11, 11]",52,11,us,0.2792387008666992,0.855383574962616,1.426583766937256,0.5496187210083008,0.0750499963760376,G01-1
fl:an_ln:goldsmith-1,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8358588], [8358588], [8358588, 9661515], [8358588, 9661515], [9661515], [9661515]]",6,"[1, 1, 2, 2, 1, 1]",8,2,us,2.2565290927886963,3.1912155151367188,4.786822319030762,1.4514232589135645e-06,1.3582650820414273,G01-1
fl:an_ln:gomez-9,"[(2010, 2015), (2011, 2016), (2012, 2017), (2013, 2018), (2014, 2019), (2015, 2020)]","[[8807266, 9146328], [8807266, 9146328], [8807266, 9146328], [8807266, 9146328], [8807266, 9146328], [9146328]]",6,"[2, 2, 2, 2, 2, 1]",11,2,us,1.1368683772161605e-13,1.1988332744294894e-06,1.1988333881163271e-06,1.1988333881163271e-06,2.9802322387695312e-06,G01-1
